GO:0045103	2.33015069314029e-12
GO:0045104	2.33015069314029e-12
GO:0003993	1.92793528448168e-06
GO:0005516	1.2147505225553e-05
GO:0030574	1.2147505225553e-05
GO:0032963	1.2147505225553e-05
GO:0032007	4.51402255530998e-05
GO:0008017	0.000135968546655393
GO:0015631	0.000352023260605511
GO:0032006	0.000643025587787544
GO:0031929	0.00282879905183316
GO:1902532	0.00325561855274195
GO:0033177	0.00369784423411722
GO:0030198	0.00641753805726259
GO:0043062	0.00735535036949575
GO:0004143	0.00735535036949575
GO:0007205	0.00735535036949575
GO:0009378	0.00735535036949575
GO:0070822	0.00735535036949575
GO:1901618	0.00735535036949575
GO:0006268	0.00771325491764095
GO:0015850	0.00771325491764095
